1 12069348
2 666396
3 107752
4 38118
5 16547
6 8659
7 5072
8 2924
9 1838
10 1315
11 812
12 532
13 415
14 273
15 189
16 137
17 108
18 91
19 72
20 68
21 55
22 57
23 38
24 35
25 28
26 30
27 22
28 16
29 9
30 13
31 16
32 7
33 12
34 10
35 17
36 6
37 6
38 5
39 6
40 10
41 3
42 5
43 7
44 2
45 2
46 4
47 2
49 2
50 2
51 2
53 1
54 3
55 1
56 3
57 2
58 2
60 1
62 1
65 2
66 1
67 2
68 1
71 1
72 4
75 1
76 3
82 1
86 1
87 1
94 1
95 3
101 1
102 1
106 2
111 1
113 1
148 1
154 1
156 1
158 1
175 1
188 1
206 1
310 1
408 1
439 1
702 1
