1 227974
2 71539
3 32436
4 18370
5 11330
6 7705
7 5474
8 4094
9 3107
10 2444
11 2059
12 1537
13 1364
14 1137
15 981
16 828
17 674
18 613
19 489
20 492
21 443
22 373
23 345
24 276
25 260
26 223
27 210
28 218
29 177
30 164
31 125
32 131
33 125
34 123
35 107
36 102
37 100
38 67
39 67
40 77
41 61
42 69
43 62
44 63
45 53
46 44
47 38
48 41
49 30
50 27
51 37
52 35
53 34
54 32
55 30
56 22
57 22
58 15
59 17
60 22
61 26
62 25
63 19
64 10
65 10
66 23
67 20
68 15
69 15
70 12
71 9
72 11
73 7
74 5
75 13
76 7
77 11
78 11
79 7
80 10
81 8
82 12
83 9
84 5
85 5
86 5
87 8
88 4
89 6
90 4
91 7
92 5
93 4
94 6
95 6
96 5
97 4
98 3
99 3
100 4
101 3
102 3
103 1
104 6
105 5
106 2
108 2
109 1
110 2
112 4
113 2
114 7
115 5
116 3
117 2
118 2
119 2
120 1
121 1
122 1
123 1
124 1
125 2
126 5
129 1
130 3
132 2
133 2
134 1
137 2
138 1
139 1
140 1
143 1
144 3
145 1
147 1
148 1
149 1
151 1
155 1
161 4
162 1
164 1
166 2
167 1
169 1
172 1
176 1
177 2
178 1
180 1
183 1
185 1
187 1
198 1
200 1
201 1
204 1
206 1
207 1
209 1
212 1
214 2
216 2
221 1
223 1
227 1
228 1
239 1
243 1
247 1
252 1
255 1
258 1
263 1
268 1
269 1
270 1
274 1
282 1
301 1
321 1
338 1
341 1
342 1
357 1
368 2
376 1
418 1
431 1
493 1
546 1
571 1
745 1
1312 1
1435 1
2783 1
